case_38,HR14,2000-01-01 00:00:00.017,HRBC,no
case_38,XOR_HR14_HR17,2000-01-01 00:00:00.018,NO_INFO,NO_INFO
case_38,HR17,2000-01-01 00:00:00.019,HRBC,no
case_38,XOR_HR17_HR19,2000-01-01 00:00:00.020,NO_INFO,NO_INFO
case_38,HR19,2000-01-01 00:00:00.021,HRBC,no
case_38,AND_HR19_HR20,2000-01-01 00:00:00.022,NO_INFO,NO_INFO
case_38,HR20,2000-01-01 00:00:00.023,RTM,no
case_38,HR21,2000-01-01 00:00:00.024,EVC,no
case_38,HR5,2000-01-01 00:00:00.025,EVC,no
case_38,HR24,2000-01-01 00:00:00.026,RTM,no
case_38,XOR_HR24_HR26,2000-01-01 00:00:00.027,NO_INFO,NO_INFO
case_38,HR26,2000-01-01 00:00:00.028,EVC,no
case_38,XOR_HR26_HR28,2000-01-01 00:00:00.029,NO_INFO,NO_INFO
case_38,HR28,2000-01-01 00:00:00.030,RTM,no
case_38,HR29,2000-01-01 00:00:00.031,HRBC,no
